Year,BranchCode,Registrations
2015,AN,915
2015,AP,709
2015,BB,753
2015,BC,1109
2015,BD,707
2015,BE,1546
2015,BF,2119
2015,BKONE,139
2015,BKTWO,16
2015,BL,3111
2015,BR,1725
2015,BRW,1729
2015,BUR,766
2015,CC,659
2015,CE,1756
2015,CED,3824
2015,CH,1934
2015,CL,13064
2015,CS,949
2015,DA,1080
2015,DM,2152
2015,DO,1669
2015,DP,1790
2015,DR,1305
2015,DS,10
2015,DT,242
2015,DU,814
2015,EA,2693
2015,EB,398
2015,EG,524
2015,EN,1854
2015,ES,1398
2015,FH,1004
2015,FO,3732
2015,FP,1058
2015,FV,5792
2015,GE,511
2015,GHP,777
2015,GW,389
2015,HB,552
2015,HC,702
2015,HIL,763
2015,HLS,245
2015,HP,1200
2015,HS,457
2015,HW,510
2015,JD,1202
2015,JO,659
2015,JS,1065
2015,KE,1391
2015,LB,663
2015,LD,1
2015,LE,1135
2015,LO,1526
2015,LS,3219
2015,MA,894
2015,MAL,2219
2015,MAS,1790
2015,MCG,1287
2015,MD,728
2015,ME,1
2015,MI,846
2015,MP,546
2015,MRV,1181
2015,MS,1005
2015,ND,2466
2015,NE,354
2015,NT,517
2015,OV,509
2015,PA,1449
2015,PE,245
2015,PK,1960
2015,PL,1564
2015,PM,813
2015,PU,843
2015,PV,482
2015,QS,437
2015,RD,881
2015,RI,2841
2015,RN,1833
2015,RX,400
2015,SA,1073
2015,SB,107
2015,SC,2242
2015,SI,284
2015,SJ,1427
2015,SL,1278
2015,SP,737
2015,ST,1052
2015,SW,85
2015,SWS,1239
2015,TA,421
2015,TH,1507
2015,TOD,170
2015,TRL,11617
2015,VV,465
2015,WE,979
2015,WP,426
2015,WS,2005
2015,WY,1032
2015,YO,1012
2015,YW,2452
2016,AB,4474
2016,ACD,1592
2016,AD,526
2016,AG,2318
2016,AH,567
2016,AL,1
2016,AN,1058
2016,AP,796
2016,BB,770
2016,BC,1082
2016,BD,686
2016,BE,1634
2016,BF,2022
2016,BKONE,79
2016,BKTWO,24
2016,BL,3076
2016,BR,1950
2016,BRW,1965
2016,BUR,802
2016,CC,789
2016,CE,1614
2016,CED,3861
2016,CH,2655
2016,CL,12204
2016,CS,1037
2016,DA,1078
2016,DM,2062
2016,DO,1549
2016,DP,1798
2016,DR,1269
2016,DS,22
2016,DT,280
2016,DU,834
2016,EA,2849
2016,EB,411
2016,EG,548
2016,EN,1924
2016,ES,719
2016,FH,866
2016,FO,3485
2016,FP,1065
2016,FV,5805
2016,GE,634
2016,GHP,818
2016,GW,357
2016,HB,691
2016,HC,645
2016,HIL,777
2016,HLS,283
2016,HP,1275
2016,HS,449
2016,HW,611
2016,JD,1211
2016,JO,793
2016,JS,1042
2016,KE,1337
2016,LB,763
2016,LE,1185
2016,LO,1503
2016,LS,3222
2016,MA,960
2016,MAL,2404
2016,MAS,1818
2016,MCG,1259
2016,MD,804
2016,MI,898
2016,MP,656
2016,MRV,1266
2016,MS,1168
2016,ND,3050
2016,NE,386
2016,NT,624
2016,OV,571
2016,PA,1723
2016,PE,290
2016,PK,1909
2016,PL,1540
2016,PM,833
2016,PU,737
2016,PV,561
2016,QS,498
2016,RD,976
2016,RI,2872
2016,RN,1867
2016,RX,462
2016,SA,1169
2016,SB,125
2016,SC,2173
2016,SI,306
2016,SJ,1588
2016,SL,1415
2016,SP,720
2016,ST,1004
2016,SW,92
2016,SWS,1269
2016,TA,401
2016,TH,1627
2016,TOD,190
2016,TRL,13403
2016,VV,541
2016,WE,1027
2016,WP,480
2016,WS,2000
2016,WY,1164
2016,YO,1003
2016,YW,2379
2017,AB,6889
2017,ACD,1625
2017,AD,545
2017,AG,2538
2017,AH,645
2017,AL,1
2017,AN,1234
2017,AP,485
2017,BB,792
2017,BC,1210
2017,BD,709
2017,BE,1533
2017,BF,2256
2017,BKONE,84
2017,BKTWO,35
2017,BL,3267
2017,BR,2237
2017,BRW,2045
2017,BUR,735
2017,CC,725
2017,CE,2092
2017,CED,3831
2017,CH,2504
2017,CL,4960
2017,CS,1115
2017,DA,1174
2017,DM,1909
2017,DO,1927
2017,DP,1850
2017,DR,1334
2017,DS,41
2017,DT,316
2017,DU,808
2017,EA,2754
2017,EB,410
2017,EG,573
2017,EN,2628
2017,ES,1366
2017,FH,951
2017,FO,3661
2017,FP,991
2017,FV,6056
2017,GE,735
2017,GHP,856
2017,GW,348
2017,HB,655
2017,HC,757
2017,HIL,938
2017,HLS,218
2017,HP,1285
2017,HS,289
2017,HW,565
2017,JD,1359
2017,JO,674
2017,JS,1121
2017,KE,1547
2017,LB,579
2017,LD,2
2017,LE,1274
2017,LO,1849
2017,LS,3198
2017,MA,999
2017,MAL,2516
2017,MAS,1599
2017,MCG,1368
2017,MD,821
2017,MI,954
2017,MP,589
2017,MRV,1158
2017,MS,1059
2017,ND,3384
2017,NE,457
2017,NT,597
2017,OV,613
2017,PA,1645
2017,PE,376
2017,PK,2129
2017,PL,1680
2017,PM,816
2017,PU,849
2017,PV,569
2017,QS,566
2017,RD,914
2017,RI,2833
2017,RN,1296
2017,RX,427
2017,SA,1247
2017,SB,133
2017,SC,2449
2017,SI,287
2017,SJ,1659
2017,SL,1769
2017,SP,743
2017,ST,897
2017,SW,203
2017,SWS,1339
2017,TA,343
2017,TH,1599
2017,TOD,209
2017,TRL,13511
2017,VV,471
2017,WE,1067
2017,WP,506
2017,WS,2046
2017,WY,1101
2017,YO,1215
2017,YW,2952
2018,AB,7788
2018,ACD,1789
2018,AD,733
2018,AG,3658
2018,AH,859
2018,AN,1349
2018,AP,1045
2018,BB,1233
2018,BC,1688
2018,BD,1055
2018,BE,1810
2018,BF,2884
2018,BKONE,137
2018,BKTWO,17
2018,BL,3787
2018,BR,2483
2018,BRW,2908
2018,BUR,1056
2018,CC,963
2018,CE,2296
2018,CED,4913
2018,CH,3182
2018,CL,12469
2018,CS,1203
2018,DA,1314
2018,DM,2310
2018,DO,2468
2018,DP,2462
2018,DR,1381
2018,DS,12
2018,DT,452
2018,DU,1420
2018,EA,3085
2018,EB,476
2018,EG,605
2018,EN,2812
2018,ES,2646
2018,FH,1093
2018,FO,4097
2018,FP,1132
2018,FV,8251
2018,GE,774
2018,GHP,942
2018,GW,477
2018,HB,783
2018,HC,1016
2018,HIL,1057
2018,HLS,180
2018,HP,1525
2018,HS,790
2018,HW,680
2018,JD,1672
2018,JO,907
2018,JS,1270
2018,KE,1492
2018,LB,908
2018,LD,1
2018,LE,1511
2018,LO,2111
2018,LS,3555
2018,MA,1195
2018,MAL,3394
2018,MAS,1873
2018,MCG,1542
2018,MD,912
2018,MI,1056
2018,MP,837
2018,MRV,1538
2018,MS,1573
2018,ND,4164
2018,NE,512
2018,NT,633
2018,OS,1
2018,OV,734
2018,PA,2249
2018,PE,574
2018,PK,2802
2018,PL,2071
2018,PM,1020
2018,PU,1144
2018,PV,666
2018,QS,612
2018,RD,1322
2018,RI,3638
2018,RN,2512
2018,RX,466
2018,SA,2048
2018,SB,135
2018,SC,2686
2018,SI,6
2018,SJ,2137
2018,SL,2140
2018,SP,925
2018,ST,898
2018,SW,124
2018,SWS,1760
2018,TA,497
2018,TH,1753
2018,TOD,204
2018,TRL,14975
2018,VV,630
2018,WE,1279
2018,WP,573
2018,WS,2387
2018,WY,579
2018,YO,1296
2018,YW,3361
2019,AB,7314
2019,ACD,1352
2019,AD,712
2019,AG,3404
2019,AH,842
2019,AL,1
2019,AN,1274
2019,AP,1000
2019,BB,1597
2019,BC,2389
2019,BD,909
2019,BE,1887
2019,BF,3112
2019,BKONE,114
2019,BKTWO,21
2019,BL,4130
2019,BR,2858
2019,BRW,2625
2019,BUR,1130
2019,CC,1074
2019,CE,2120
2019,CED,4849
2019,CH,3798
2019,CL,14523
2019,CS,1462
2019,DA,1555
2019,DM,2137
2019,DO,1796
2019,DP,2334
2019,DR,1282
2019,DS,22
2019,DT,560
2019,DU,1442
2019,EA,3621
2019,EB,512
2019,EG,731
2019,EN,2582
2019,ES,2799
2019,FH,1091
2019,FO,4769
2019,FP,1204
2019,FV,7751
2019,GE,832
2019,GHP,851
2019,GW,342
2019,HB,926
2019,HC,1116
2019,HIL,980
2019,HLS,139
2019,HP,1874
2019,HS,685
2019,HW,669
2019,JD,1755
2019,JO,896
2019,JS,1781
2019,KE,1568
2019,LB,899
2019,LD,1
2019,LE,1530
2019,LO,2157
2019,LS,3362
2019,MA,1202
2019,MAL,3332
2019,MAS,1819
2019,MCG,1680
2019,MD,1027
2019,MI,1129
2019,MP,776
2019,MRV,1505
2019,MS,1528
2019,ND,4118
2019,NE,555
2019,NT,788
2019,OV,939
2019,PA,2105
2019,PE,548
2019,PK,2068
2019,PL,1102
2019,PM,1176
2019,PU,1076
2019,PV,681
2019,QS,722
2019,RD,1466
2019,RI,3800
2019,RN,2536
2019,RX,514
2019,SA,2158
2019,SB,132
2019,SC,2836
2019,SI,254
2019,SJ,2297
2019,SL,2550
2019,SP,1083
2019,ST,1570
2019,SW,133
2019,SWS,1955
2019,TA,545
2019,TH,1948
2019,TOD,244
2019,TRL,14461
2019,VV,544
2019,WE,1518
2019,WP,784
2019,WS,2341
2019,WY,17
2019,YO,1349
2019,YW,2773
2020,AB,2072
2020,ACD,25
2020,AD,164
2020,AG,1064
2020,AH,194
2020,AN,450
2020,AP,408
2020,BB,385
2020,BC,494
2020,BD,341
2020,BE,813
2020,BF,862
2020,BKONE,48
2020,BKTWO,2
2020,BL,1344
2020,BR,917
2020,BRW,673
2020,BUR,203
2020,CC,504
2020,CE,758
2020,CED,1594
2020,CH,1268
2020,CL,3481
2020,CS,544
2020,DA,560
2020,DM,805
2020,DO,691
2020,DP,782
2020,DR,501
2020,DS,34
2020,DT,122
2020,DU,496
2020,EA,1151
2020,EB,143
2020,EG,164
2020,EN,700
2020,ES,603
2020,FH,442
2020,FO,1874
2020,FP,287
2020,FV,2168
2020,GE,242
2020,GHP,299
2020,GW,227
2020,HB,172
2020,HC,388
2020,HIL,330
2020,HLS,54
2020,HP,625
2020,HS,192
2020,HW,116
2020,JD,572
2020,JO,339
2020,JS,617
2020,KE,507
2020,LB,354
2020,LE,625
2020,LO,891
2020,LS,1285
2020,MA,462
2020,MAL,1042
2020,MAS,670
2020,MCG,538
2020,MD,358
2020,MI,483
2020,MP,147
2020,MRV,331
2020,MS,633
2020,ND,1539
2020,NE,210
2020,NT,254
2020,OS,1
2020,OV,341
2020,PA,824
2020,PE,113
2020,PK,1201
2020,PL,965
2020,PM,604
2020,PU,195
2020,PV,248
2020,QS,168
2020,RD,517
2020,RI,1230
2020,RN,886
2020,RX,108
2020,SA,628
2020,SB,27
2020,SC,995
2020,SI,186
2020,SJ,378
2020,SL,980
2020,SP,187
2020,ST,315
2020,SW,16
2020,SWS,561
2020,TA,212
2020,TH,525
2020,TOD,45
2020,TRL,4261
2020,VIR,6511
2020,VV,207
2020,WE,445
2020,WP,252
2020,WS,503
2020,WY,4
2020,YO,278
2020,YW,396
2021,AB,1953
2021,ACD,154
2021,AD,363
2021,AG,1194
2021,AH,233
2021,AL,1
2021,AN,462
2021,AP,328
2021,BB,393
2021,BC,284
2021,BD,450
2021,BE,873
2021,BF,939
2021,BKONE,61
2021,BKTWO,4
2021,BL,1356
